  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   6.250   1.1224   0.01167   0.00521  -0.0921   0.2831   1.0000
   6.500   1.1441   0.01213   0.00555  -0.0911   0.2586   1.0000
   6.750   1.1648   0.01265   0.00594  -0.0900   0.2314   1.0000
   7.000   1.1846   0.01323   0.00638  -0.0888   0.2039   1.0000
   7.250   1.2037   0.01384   0.00686  -0.0875   0.1771   1.0000
   7.500   1.2218   0.01449   0.00736  -0.0860   0.1507   1.0000
   7.750   1.2398   0.01512   0.00789  -0.0845   0.1285   1.0000
   8.000   1.2575   0.01574   0.00842  -0.0830   0.1118   1.0000
   8.250   1.2747   0.01632   0.00894  -0.0814   0.0985   1.0000
   8.500   1.2904   0.01690   0.00948  -0.0794   0.0861   1.0000
   8.750   1.3058   0.01751   0.01005  -0.0775   0.0751   1.0000
   9.000   1.3215   0.01812   0.01063  -0.0757   0.0671   1.0000
   9.250   1.3368   0.01875   0.01125  -0.0739   0.0611   1.0000
   9.500   1.3520   0.01940   0.01191  -0.0721   0.0563   1.0000
   9.750   1.3667   0.02008   0.01260  -0.0703   0.0524   1.0000
  10.000   1.3816   0.02075   0.01330  -0.0686   0.0493   1.0000
  10.250   1.3949   0.02154   0.01411  -0.0668   0.0464   1.0000
  10.500   1.4087   0.02232   0.01492  -0.0651   0.0442   1.0000
  10.750   1.4227   0.02309   0.01575  -0.0635   0.0423   1.0000
  11.000   1.4353   0.02397   0.01667  -0.0618   0.0405   1.0000
  11.250   1.4465   0.02497   0.01771  -0.0601   0.0388   1.0000
  11.500   1.4575   0.02602   0.01881  -0.0584   0.0374   1.0000
  11.750   1.4699   0.02701   0.01987  -0.0570   0.0362   1.0000
  12.000   1.4808   0.02812   0.02104  -0.0555   0.0349   1.0000
  12.250   1.4906   0.02935   0.02233  -0.0541   0.0336   1.0000
  12.500   1.4987   0.03077   0.02380  -0.0526   0.0323   1.0000
  12.750   1.5065   0.03225   0.02534  -0.0513   0.0313   1.0000
  13.000   1.5157   0.03366   0.02684  -0.0501   0.0303   1.0000
  13.250   1.5238   0.03522   0.02847  -0.0490   0.0293   1.0000
  13.500   1.5307   0.03693   0.03024  -0.0480   0.0282   1.0000
  13.750   1.5356   0.03885   0.03222  -0.0469   0.0271   1.0000
  14.000   1.5398   0.04092   0.03437  -0.0460   0.0262   1.0000
  14.250   1.5458   0.04288   0.03642  -0.0453   0.0253   1.0000
  14.500   1.5505   0.04501   0.03865  -0.0447   0.0243   1.0000
  14.750   1.5539   0.04734   0.04105  -0.0441   0.0234   1.0000
  15.000   1.5557   0.04991   0.04369  -0.0437   0.0225   1.0000
  15.250   1.5571   0.05261   0.04646  -0.0434   0.0217   1.0000
  15.500   1.5593   0.05527   0.04922  -0.0431   0.0208   1.0000
  15.750   1.5602   0.05811   0.05216  -0.0430   0.0199   1.0000
  16.000   1.5600   0.06117   0.05530  -0.0431   0.0191   1.0000
  16.250   1.5581   0.06451   0.05871  -0.0432   0.0184   1.0000
  16.500   1.5561   0.06791   0.06221  -0.0435   0.0177   1.0000
  16.750   1.5537   0.07141   0.06582  -0.0439   0.0171   1.0000
